country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop
North America,1120629,"+1,515",64412,+148,176247,879970,16563,,
Europe,1322784,+78,126431,+9,459814,736539,24627,,
Asia,495132,+358,17927,+17,246272,230933,5832,,
South America,155592,+389,7590,+22,54294,93708,9775,,
Oceania,8314,+2,107,,6933,1274,45,,
Africa,35779,+101,1528,+1,11868,22383,120,,
,721,,15,,645,61,4,,
World,3138951,"+2,443",218010,+197,956073,1964868,56966,403,28
USA,1035765,,59266,,142238,834261,15298,3129,179
Spain,232128,,23822,,123903,84403,7764,4965,510
Italy,201505,,27359,,68941,105205,1863,3333,453
France,165911,,23660,,46886,95365,4387,2542,362
UK,161145,,21678,,0,139123,1559,2374,319
Germany,159912,,6314,,117400,36198,2409,1909,75
Turkey,114653,,2992,,38809,72852,1621,1359,35
Russia,93558,,867,,8456,84235,2300,641,6
Iran,92584,,5877,,72439,14268,2983,1102,70
Brazil,73235,+336,5083,+20,32544,35608,8318,345,24
Canada,50026,,2859,,19190,27977,557,1325,76
Belgium,47334,,7331,,10943,29060,876,4084,633
Netherlands,38416,,4566,,0,33600,861,2242,266
India,31332,+8,1008,,7747,22577,,23,0.7
Peru,31190,,854,,9179,21157,600,946,26
Switzerland,29264,,1699,,22600,4965,185,3381,196
Portugal,24322,,948,,1389,21985,172,2385,93
Ecuador,24258,,871,,1557,21830,146,1375,49
Saudi Arabia,20077,,152,,2784,17141,118,577,4
Ireland,19877,,1159,,9233,9485,141,4025,235
Sweden,19621,,2355,,1005,16261,524,1943,233
Mexico,16752,"+1,223",1569,+135,11423,3760,378,130,12
Israel,15728,,210,,7746,7772,116,1817,24
Austria,15357,,569,,12580,2208,136,1705,63
Singapore,14951,,14,,1128,13809,20,2556,2
Pakistan,14885,+273,327,+15,3425,11133,111,67,1
Chile,14365,,207,,7710,6448,426,751,11
Japan,13736,,394,,1899,11443,300,109,3
Poland,12218,,596,,2655,8967,160,323,16
Belarus,12208,,79,,1993,10136,92,1292,8
Qatar,11921,,10,,1134,10777,72,4138,3
Romania,11616,,663,,3404,7549,243,604,34
UAE,11380,,89,,2181,9110,1,1151,9
S. Korea,10761,+9,246,+2,8922,1593,55,210,5
Indonesia,9511,,773,,1254,7484,,35,3
Ukraine,9410,,239,,992,8179,121,215,5
Denmark,8851,,434,,6121,2296,66,1528,75
Serbia,8497,,168,,1260,7069,79,972,19
Philippines,7958,,530,,975,6453,31,73,5
Norway,7660,,206,,32,7422,44,1413,38
Czechia,7504,,227,,2948,4329,73,701,21
Australia,6738,,88,,5626,1024,42,264,3
Bangladesh,6462,,155,,139,6168,1,39,0.9
Dominican Republic,6416,,286,,1165,4965,144,591,26
Panama,6200,+179,176,+9,484,5540,89,1437,41
Colombia,5949,,269,,1268,4412,118,117,5
Malaysia,5851,,100,,4032,1719,36,181,3
Egypt,5042,,359,,1304,3379,,49,4
South Africa,4996,,93,,2073,2830,36,84,2
Finland,4740,,199,,2800,1741,56,855,36
Morocco,4252,,165,,778,3309,1,115,4
Argentina,4127,,207,,1162,2758,144,91,5
Luxembourg,3741,,89,,3123,529,19,5976,142
Algeria,3649,,437,,1651,1561,22,83,10
Moldova,3638,,103,,975,2560,212,902,26
Kuwait,3440,,23,,1176,2241,67,806,5
Kazakhstan,3027,,25,,774,2228,41,161,1
Thailand,2947,+9,54,,2665,228,61,42,0.8
Bahrain,2811,,8,,1310,1493,2,1652,5
Hungary,2727,+78,300,+9,536,1891,50,282,31
Greece,2566,,138,,577,1851,40,246,13
Oman,2131,,10,,364,1757,3,417,2
Croatia,2047,,63,,1232,752,21,499,15
Uzbekistan,1955,+16,8,,992,955,8,58,0.2
Iraq,1928,,90,,1319,519,,48,2
Armenia,1867,,30,,866,971,10,630,10
Afghanistan,1828,,58,,228,1542,7,47,1
Cameroon,1806,+101,59,+1,915,832,12,68,2
Iceland,1795,,10,,1636,149,1,5260,29
Azerbaijan,1717,,22,,1221,474,15,169,2
Ghana,1671,,16,,188,1467,4,54,0.5
Estonia,1660,,50,,240,1370,9,1251,38
Bosnia and Herzegovina,1585,,63,,682,840,4,483,19
Nigeria,1532,,44,,255,1233,2,7,0.2
New Zealand,1474,+2,19,,1229,226,1,306,4
Cuba,1437,,58,,575,804,12,127,5
North Macedonia,1421,,71,,589,761,13,682,34
Slovenia,1408,,86,,223,1099,24,677,41
Bulgaria,1399,,58,,222,1119,39,201,8
Slovakia,1384,,20,,423,941,6,253,4
Lithuania,1344,,44,,536,764,17,494,16
Guinea,1240,,7,,269,964,,94,0.5
Ivory Coast,1183,,14,,525,644,,45,0.5
Djibouti,1072,,2,,498,572,,1085,2
Bolivia,1053,+39,55,+2,110,888,3,90,5
Hong Kong,1038,,4,,811,223,4,138,0.5
Tunisia,975,,40,,279,656,18,82,3
Cyprus,837,,15,,148,674,15,693,12
